Location;Year;Kilometers_Driven;Fuel_Type;Transmission;Owner_Type;Mileage;Seats;Price_in_Euro;Brand;Model;Engine_numeric;Power_numeric;is_Sold_new
Mumbai;2010;72000;CNG;0;First;37.24;5;1925.0;Maruti;Wagon R LXI CNG;998.0;58.16;0
Pune;2015;41000;Diesel;0;First;19.67;5;13750.0;Hyundai;Creta 1.6 CRDi SX Option;1582.0;126.2;0
Chennai;2011;46000;Petrol;0;First;18.2;5;4950.0;Honda;Jazz V;1199.0;88.7;1
Chennai;2012;87000;Diesel;0;First;20.77;7;6600.0;Maruti;Ertiga VDI;1248.0;88.76;0
Coimbatore;2013;40670;Diesel;1;Second;15.2;5;19514.0;Audi;A4 New 2.0 TDI Multitronic;1968.0;140.8;0
Hyderabad;2012;75000;LPG;0;First;29.54;5;2585.0;Hyundai;EON LPG Era Plus Option;814.0;55.2;0
Jaipur;2013;86999;Diesel;0;First;23.08;5;3850.0;Nissan;Micra Diesel XV;1461.0;63.1;0
Mumbai;2016;36000;Diesel;1;First;11.36;8;19250.0;Toyota;Innova Crysta 2.8 GX AT 8S;2755.0;171.5;1
Pune;2013;64430;Diesel;0;First;20.54;5;5720.0;Volkswagen;Vento Diesel Comfortline;1598.0;103.6;0
Chennai;2012;65932;Diesel;0;Second;22.3;5;2145.0;Tata;Indica Vista Quadrajet LS;1248.0;98.6;0
Kochi;2018;25692;Petrol;0;First;21.56;5;10944.999999999998;Maruti;Ciaz Zeta;1462.0;103.25;1
Kolkata;2012;60000;Petrol;1;First;16.8;5;4939.0;Honda;City 1.5 V AT Sunroof;1497.0;116.3;0
Jaipur;2015;64424;Diesel;0;First;25.2;5;6160.0;Maruti;Swift VDI BSIV;1248.0;98.6;0
Delhi;2014;72000;Diesel;1;First;12.7;5;29700.0;Land_Rover;Range Rover 2.2L Pure;2179.0;187.7;0
Pune;2012;85000;Diesel;1;Second;0.0;5;19250.0;Land_Rover;Freelander 2 TD4 SE;2179.0;115.0;0
Delhi;2014;110000;Diesel;0;First;13.5;7;16500.0;Mitsubishi;Pajero Sport 4X4;2477.0;175.56;1
Kochi;2016;58950;Diesel;0;First;25.8;5;5940.0;Honda;Amaze S i-Dtech;1498.0;98.6;0
Jaipur;2017;25000;Diesel;0;First;28.4;5;6589.0;Maruti;Swift DDiS VDI;1248.0;98.6;0
Kochi;2014;77469;Diesel;0;First;20.45;5;6974.0;Renault;Duster 85PS Diesel RxL Plus;1461.0;83.8;0
Bangalore;2014;78500;Diesel;1;First;14.84;5;30800.0;Mercedes-Benz;New C-Class C 220 CDI BE Avantgare;2143.0;167.62;0
Kochi;2014;32982;Diesel;1;First;22.69;5;20405.0;BMW;3 Series 320d;1995.0;190.0;1
Bangalore;2015;55392;Diesel;0;Second;23.65;5;9075.0;Maruti;S Cross DDiS 200 Alpha;1248.0;88.5;0
Mumbai;2015;55985;Petrol;1;First;13.53;5;25850.0;Audi;A6 2011-2015 35 TFSI Technology;1984.0;177.01;0
Kolkata;2010;45807;Petrol;0;First;18.5;5;2057.0;Hyundai;i20 1.2 Magna;1197.0;98.6;0
Kolkata;2010;33000;Petrol;1;First;14.4;5;3135.0;Volkswagen;Vento Petrol Highline AT;1598.0;103.6;0
Mumbai;2012;51920;Petrol;0;First;16.8;5;4675.0;Honda;City Corporate Edition;1497.0;116.3;0
Hyderabad;2012;54000;Diesel;0;First;23.08;5;4675.0;Nissan;Micra Diesel XV;1461.0;63.1;0
Hyderabad;2013;54000;Petrol;0;Second;20.92;5;3025.0;Maruti;Alto K10 2010-2014 VXI;998.0;67.1;0
Kochi;2018;37430;Petrol;0;First;17.5;5;10890.0;Honda;WRV i-VTEC VX;1199.0;88.7;1
Mumbai;2007;262000;Diesel;0;Fourth & Above;12.8;7;4400.0;Toyota;Innova 2.5 V Diesel 7-seater;2494.0;102.0;0
Bangalore;2013;62000;Diesel;0;First;19.01;5;8525.0;Renault;Duster 110PS Diesel RxZ Pack;1461.0;108.45;0
Delhi;2012;87615;Petrol;0;First;14.53;5;7425.0;Toyota;Corolla Altis G;1798.0;138.1;0
Bangalore;2013;72000;Diesel;1;Second;11.18;7;13750.0;Mahindra;Ssangyong Rexton RX7;2696.0;184.0;0
Kolkata;2010;35000;Diesel;1;First;12.4;5;12650.0;Audi;A6 2.7 TDI;2698.0;179.5;0
Coimbatore;2014;55431;Petrol;0;Second;16.09;5;7678.0;Volkswagen;Vento 1.6 Highline;1598.0;103.5;1
Jaipur;2009;83816;Petrol;0;Second;14.0;5;2035.0;Maruti;Wagon R LXI BSIII;1061.0;98.6;0
Kochi;2018;50075;Diesel;0;First;24.3;5;9493.0;Maruti;Vitara Brezza ZDi Plus;1248.0;88.5;1
Delhi;2017;52000;Petrol;0;First;18.15;5;5334.999999999999;Mahindra;KUV 100 mFALCON G80 K6 5str AW;1198.0;98.6;0
Pune;2013;85000;Diesel;1;First;11.74;5;30800.0;Mercedes-Benz;M-Class ML 350 CDI;2987.0;254.8;0
Chennai;2013;62000;Diesel;0;First;22.07;5;5500.0;Volkswagen;Polo Diesel Trendline 1.2L;1199.0;73.9;0
Delhi;2008;90000;Petrol;0;Second;19.7;5;1375.0;Maruti;Alto LXi;796.0;46.3;0
Kochi;2014;19698;Petrol;0;First;25.4;4;1683.0;Tata;Nano LX SE;624.0;37.5;0
Coimbatore;2017;22033;Diesel;0;First;25.32;6;6138.0;Mahindra;KUV 100 mFALCON D75 K8 Dual Tone;1198.0;98.6;0
Kochi;2014;35487;Petrol;0;First;18.5;5;5214.0;Hyundai;i20 Magna Optional 1.2;1197.0;82.9;0
Bangalore;2014;46374;Petrol;1;First;14.62;5;9735.0;Hyundai;Elantra 2.0 SX Option AT;1999.0;149.92;1
Mumbai;2016;52001;Petrol;1;First;14.28;5;11121.0;Toyota;Corolla Altis G AT;1798.0;138.03;0
Ahmedabad;2008;58005;Diesel;0;Second;14.9;5;4675.0;Hyundai;Elantra CRDi;1991.0;112.2;0
Bangalore;2012;70704;Petrol;0;First;11.25;7;12045.0;Toyota;Innova Crysta 2.7 GX MT;2694.0;163.7;1
Jaipur;2014;75000;Diesel;0;First;24.4;5;4235.0;Hyundai;Xcent 1.1 CRDi S;1120.0;98.6;0
Jaipur;2012;75800;Diesel;0;Second;16.55;6;6050.0;Mahindra;Thar CRDe AC;2498.0;105.0;0
Kochi;2015;13648;Diesel;1;First;17.11;5;23573.0;Audi;A4 2.0 TDI 177 Bhp Premium Plus;1968.0;174.33;0
Delhi;2014;52000;Diesel;0;First;22.9;5;4675.0;Maruti;Swift LDI;1248.0;98.6;0
Kolkata;2014;53000;Diesel;0;First;17.8;5;3630.0;Maruti;Swift Ldi BSIV;1248.0;98.6;0
Delhi;2013;65650;Diesel;0;First;28.4;5;4235.0;Maruti;Swift VDI;1248.0;98.6;0
Chennai;2015;54000;Petrol;0;Third;18.9;5;3960.0;Hyundai;Grand i10 Sportz;1197.0;98.6;0
Kolkata;2015;39000;Petrol;0;First;15.04;5;4389.0;Volkswagen;Vento 2013-2015 1.6 Comfortline;1598.0;103.2;0
Kochi;2017;16542;Petrol;0;First;25.17;5;3630.0;Renault;KWID RXT;799.0;53.3;0
Kolkata;2010;32000;Petrol;0;First;20.36;5;2276.9999999999995;Hyundai;i10 Asta;1197.0;78.9;0
Hyderabad;2010;121812;Diesel;1;First;13.29;5;8525.0;Nissan;X-Trail SLX AT;1995.0;147.6;0
Hyderabad;2010;39300;Petrol;0;First;18.2;5;2475.0;Maruti;Zen Estilo VXI BSIII;998.0;67.1;0
Mumbai;2017;22000;Diesel;0;First;13.68;8;18150.0;Toyota;Innova Crysta 2.4 GX MT 8S;2393.0;147.8;1
Bangalore;2010;72000;Diesel;0;First;20.0;5;3025.0;Ford;Figo Diesel Titanium;1399.0;98.6;0
Delhi;2015;58000;Petrol;1;First;11.74;5;29370.0;Mercedes-Benz;New C-Class C 200 CGI Avantgarde;1796.0;186.0;0
Pune;2011;65000;Diesel;0;Second;15.8;5;11000.0;Mercedes-Benz;New C-Class 200 CDI Classic;2148.0;170.0;0
Chennai;2016;178000;Diesel;0;First;25.0;5;2750.0;Tata;Indica V2 eLS;1396.0;98.6;0
Jaipur;2012;65664;Diesel;1;First;16.55;5;14850.0;Audi;A4 2.0 TDI Multitronic;1968.0;140.0;0
Mumbai;2007;63000;Petrol;1;Second;16.4;5;2035.0;Honda;City ZX CVT;1497.0;98.6;0
Coimbatore;2019;15369;Diesel;1;First;0.0;5;39237.0;Mercedes-Benz;C-Class Progressive C 220d;1950.0;194.0;1
Pune;2016;63000;Diesel;0;First;24.52;7;8965.0;Maruti;Ertiga SHVS VDI;1248.0;88.5;0
